yaw,pitch,roll,ayaw,apitch,aroll,myaw,mpitch,mroll,time
60,2.13,-1.44,61.35,2.39,-1.37,175.204561962786,-2.11466156251643,-4.43702809231415,4.858
60,2.13,-1.44,61.37,2.39,-1.36,175.18170972338,-2.12521341367293,-4.45864500481304,4.858
60,2.13,-1.44,61.39,2.39,-1.36,175.158892095197,-2.13579970496531,-4.48084910635549,4.984
60,2.13,-1.44,61.4,2.38,-1.35,175.134868397984,-2.14588759489645,-4.50205905466534,4.984
60,2.13,-1.44,61.41,2.38,-1.35,175.110774307694,-2.1571432393245,-4.52204934010929,4.984
60,2.13,-1.44,61.42,2.38,-1.35,175.087596440129,-2.16551780326482,-4.54524502475012,4.984
60,2.13,-1.44,61.43,2.38,-1.34,175.063129380686,-2.17437487663589,-4.56662900451504,4.984
60,2.13,-1.44,61.42,2.38,-1.35,175.038929313245,-2.18542667040422,-4.58784840211548,5.101
60,2.13,-1.44,61.42,2.38,-1.35,175.016012601092,-2.19477852504925,-4.6114977855265,5.101
60,2.13,-1.44,61.42,2.38,-1.35,174.992378799831,-2.20555648818275,-4.63191157833732,5.101
60,2.13,-1.44,61.43,2.38,-1.34,174.968750891286,-2.21580271104439,-4.65228685122031,5.101
60,2.13,-1.44,61.43,2.38,-1.35,174.945980957655,-2.22527907114564,-4.67303947195001,5.101
60,2.13,-1.44,61.42,2.38,-1.35,174.921955552337,-2.23580014081528,-4.69380551503813,5.212
60,2.13,-1.44,61.41,2.38,-1.36,174.899296299768,-2.24576656567776,-4.71708695450266,5.212
60,2.13,-1.44,61.39,2.39,-1.36,174.876029685976,-2.25446881290369,-4.73981029382199,5.212
60,2.13,-1.44,61.39,2.39,-1.37,174.854148964198,-2.26412224756997,-4.76190433752107,5.212
60,2.13,-1.44,61.38,2.39,-1.37,174.831690701322,-2.27487530855464,-4.78406822866175,5.316
60,2.13,-1.44,61.38,2.39,-1.37,174.807875998718,-2.28354973049685,-4.80610911548438,5.316
60,2.13,-1.44,61.38,2.39,-1.37,174.784056600814,-2.29286111585099,-4.82811648496515,5.316
60,2.13,-1.44,61.39,2.38,-1.37,174.760959718866,-2.30304280718157,-4.84953379089611,5.316
60,2.13,-1.44,61.4,2.39,-1.37,174.737262237477,-2.31187127110687,-4.87217244859148,5.417
60,2.13,-1.44,61.39,2.39,-1.37,174.712798124846,-2.32138375958106,-4.89432386235673,5.417
60,2.13,-1.44,61.38,2.39,-1.38,174.690115862688,-2.33044539223286,-4.91579832146812,5.417
60,2.13,-1.44,61.37,2.39,-1.37,174.665377036643,-2.3396936207572,-4.93697112255459,5.417
60,2.13,-1.44,61.37,2.39,-1.37,174.641894422601,-2.35087128251931,-4.95870547700674,5.539
60,2.13,-1.44,61.37,2.39,-1.38,174.619660794935,-2.36059257201381,-4.98210058573346,5.539
60,2.13,-1.44,61.38,2.39,-1.37,174.596749938554,-2.37022533017779,-5.00430384873233,5.539
60,2.13,-1.44,61.38,2.39,-1.37,174.574662927015,-2.3793429863891,-5.02662041747748,5.539
60,2.13,-1.44,61.39,2.39,-1.37,174.55199217619,-2.39020076933116,-5.04897825320304,5.539
60,2.13,-1.44,61.4,2.39,-1.37,174.52874780871,-2.40110831597159,-5.07132609983421,5.659
60,2.13,-1.44,61.41,2.38,-1.37,174.506077999016,-2.41212389429264,-5.09243423758347,5.659
60,2.13,-1.44,61.4,2.39,-1.37,174.482842881109,-2.42142624817993,-5.11443197189803,5.659
60,2.13,-1.44,61.4,2.39,-1.37,174.460236287298,-2.43257689976953,-5.13700181249291,5.659
60,2.13,-1.44,61.39,2.39,-1.37,174.435133410206,-2.44330227148259,-5.15843672169336,5.659
60,2.13,-1.44,61.39,2.39,-1.37,174.411236608814,-2.4529510849618,-5.17923624205924,5.765
60,2.13,-1.44,61.39,2.39,-1.37,174.388265276358,-2.46283143449997,-5.20084432479655,5.765
60,2.13,-1.44,61.39,2.39,-1.37,174.363478138413,-2.4732243276821,-5.22246853238377,5.765
60,2.13,-1.44,61.39,2.39,-1.37,174.340721995151,-2.48295567972445,-5.24427662132388,5.765
60,2.13,-1.44,61.39,2.4,-1.37,174.317382503585,-2.49074248592176,-5.26554860575725,5.869
60,2.13,-1.44,61.39,2.39,-1.38,174.294555457723,-2.50021086262225,-5.28775518441224,5.869
60,2.13,-1.44,61.4,2.39,-1.38,174.271750693027,-2.50960204329381,-5.31059345898078,5.869
60,2.13,-1.44,61.39,2.39,-1.38,174.248317503348,-2.51911562619296,-5.3322608497889,5.869
60,2.13,-1.44,61.39,2.39,-1.38,174.2261637633,-2.52986908312872,-5.35570556447525,5.981
60,2.13,-1.44,61.39,2.39,-1.38,174.203131976193,-2.53998061212128,-5.37657605594124,5.981
60,2.13,-1.44,61.39,2.39,-1.39,174.180208775208,-2.55012479229992,-5.39925412940357,5.981
60,2.13,-1.44,61.39,2.39,-1.39,174.157856110207,-2.55947104422497,-5.42134375364769,5.981
60,2.13,-1.44,61.39,2.39,-1.39,174.134923938829,-2.56879743784453,-5.44402745711946,5.981
60,2.13,-1.44,61.39,2.39,-1.39,174.111683525353,-2.57834956185756,-5.46518790940142,6.088
60,2.13,-1.44,61.4,2.39,-1.38,174.0878034985,-2.58957759558264,-5.48636422145428,6.088
60,2.13,-1.44,61.4,2.38,-1.38,174.063792496156,-2.59985807082222,-5.50689905075289,6.088
60,2.13,-1.44,61.4,2.39,-1.38,174.039179954268,-2.60887047283001,-5.5274602118831,6.088
60,2.13,-1.44,61.4,2.39,-1.38,174.015821117505,-2.61771742669634,-5.55031386893945,6.206
60,2.13,-1.44,61.39,2.39,-1.38,173.993700755129,-2.62723917365165,-5.57373572542211,6.206
60,2.13,-1.44,61.39,2.39,-1.39,173.971037779577,-2.63728188398602,-5.59660167031608,6.206
60,2.13,-1.44,61.4,2.39,-1.39,173.94830991417,-2.64725584561168,-5.61885601658106,6.206
60,2.13,-1.44,61.4,2.38,-1.39,173.924921060241,-2.65691998978224,-5.64108717310996,6.206
60,2.13,-1.44,61.4,2.38,-1.39,173.900859800882,-2.66587060947478,-5.66328576750081,6.309
60,2.13,-1.44,61.41,2.38,-1.39,173.878044302239,-2.67479541681102,-5.68476121617125,6.309
60,2.13,-1.44,61.41,2.38,-1.38,173.855269656579,-2.68433028112653,-5.70740736237155,6.309
60,2.13,-1.44,61.42,2.38,-1.38,173.830941830314,-2.69485260035849,-5.72748225738642,6.309
