Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1.41204E-06,0.6608,-0.4669,-9.7377,-0.0014,0.0003,0.0001,23.4977,37.2212,-28.4497,0.141203704
1.41204E-06,0.6608,-0.4669,-9.7377,-0.0014,0.0003,0.0001,23.4977,37.2212,-28.4497,0.141203704
1.41204E-06,0.6608,-0.4645,-9.7186,0.0012,0.0003,0.0007,23.4977,37.2212,-28.4497,0.141203704
1.41204E-06,0.6608,-0.4645,-9.7186,0.0012,0.0003,0.0007,23.4977,37.2212,-28.4497,0.141203704
1.41204E-06,0.6728,-0.4645,-9.7688,-0.0009,-0.0002,0.0007,24.4084,37.4027,-28.2752,0.141203704
1.41204E-06,0.6728,-0.4645,-9.7688,-0.0009,-0.0002,0.0007,24.4084,37.4027,-28.2752,0.141203704
1.41204E-06,0.6608,-0.4525,-9.7473,0.0002,-0.0008,0.0012,24.4084,37.4027,-28.2752,0.141203704
1.41204E-06,0.6465,-0.4525,-9.721,-0.0009,-0.0002,0.0007,24.4084,37.4027,-28.2752,0.141203704
1.41204E-06,0.6465,-0.4525,-9.721,-0.0009,-0.0002,0.0007,24.4084,37.4027,-28.2752,0.141203704
1.41204E-06,0.6584,-0.4501,-9.7329,-0.0009,-0.0008,0.0007,24.4084,37.4027,-28.2752,0.141203704
2.69676E-06,0.6584,-0.4501,-9.7329,-0.0009,-0.0008,0.0007,24.4084,37.4027,-28.2752,0.269675926
2.69676E-06,0.6584,-0.4597,-9.7281,-0.0004,-0.0002,0.0001,24.4084,37.4027,-28.2752,0.269675926
2.69676E-06,0.6584,-0.4597,-9.7281,-0.0004,-0.0002,0.0001,24.4084,37.4027,-28.2752,0.269675926
2.69676E-06,0.6465,-0.4477,-9.7377,-0.0009,-0.0002,0.0001,24.4084,37.4027,-28.2752,0.269675926
2.69676E-06,0.6824,-0.4525,-9.7281,-0.0004,-0.0002,0.0001,22.4047,35.0424,-28.1007,0.269675926
2.69676E-06,0.6824,-0.4525,-9.7281,-0.0004,-0.0002,0.0001,22.4047,35.0424,-28.1007,0.269675926
2.69676E-06,0.6513,-0.4501,-9.7305,0.0002,0.0008,0.0007,22.4047,35.0424,-28.1007,0.269675926
2.69676E-06,0.6513,-0.4501,-9.7305,0.0002,0.0008,0.0007,22.4047,35.0424,-28.1007,0.269675926
2.69676E-06,0.6584,-0.4382,-9.7449,0.0007,0.0014,0.0001,22.4047,35.0424,-28.1007,0.269675926
2.69676E-06,0.6584,-0.4382,-9.7449,0.0007,0.0014,0.0001,22.4047,35.0424,-28.1007,0.269675926
4.00463E-06,0.6489,-0.4693,-9.7257,0.0002,-0.0002,-0.0009,22.4047,35.0424,-28.1007,0.400462963
4.00463E-06,0.6537,-0.4597,-9.7425,-0.0004,0.0003,0.0007,22.4047,35.0424,-28.1007,0.400462963
4.00463E-06,0.6537,-0.4597,-9.7425,-0.0004,0.0003,0.0007,22.4047,35.0424,-28.1007,0.400462963
4.00463E-06,0.668,-0.4597,-9.7641,0.0002,-0.0013,0.0001,22.4047,35.0424,-28.1007,0.400462963
4.00463E-06,0.668,-0.4597,-9.7641,0.0002,-0.0013,0.0001,22.4047,35.0424,-28.1007,0.400462963
4.00463E-06,0.6608,-0.4501,-9.7976,-0.0009,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.400462963
4.00463E-06,0.6608,-0.4501,-9.7976,-0.0009,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.400462963
4.00463E-06,0.656,-0.4645,-9.7401,-0.0004,-0.0002,0.0001,22.5869,36.6765,-27.5771,0.400462963
4.00463E-06,0.656,-0.4645,-9.7401,-0.0004,-0.0002,0.0001,22.5869,36.6765,-27.5771,0.400462963
4.00463E-06,0.6537,-0.4358,-9.7401,0.0002,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.400462963
5.20833E-06,0.656,-0.4621,-9.7257,0.0007,-0.0008,0.0007,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.656,-0.4621,-9.7257,0.0007,-0.0008,0.0007,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6417,-0.4525,-9.7401,-0.0004,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6417,-0.4525,-9.7401,-0.0004,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6513,-0.4429,-9.7281,0.0002,-0.0008,0.0017,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6513,-0.4429,-9.7281,0.0002,-0.0008,0.0017,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6513,-0.4717,-9.7617,-0.0004,-0.0002,0.0007,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6656,-0.4765,-9.7473,0.0002,-0.0008,-0.0004,22.5869,36.6765,-27.5771,0.520833333
5.20833E-06,0.6656,-0.4765,-9.7473,0.0002,-0.0008,-0.0004,22.5869,36.6765,-27.5771,0.520833333
6.48148E-06,0.6584,-0.4693,-9.721,-0.0004,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.648148148
6.48148E-06,0.6584,-0.4693,-9.721,-0.0004,-0.0008,0.0001,22.5869,36.6765,-27.5771,0.648148148
6.48148E-06,0.6728,-0.4693,-9.7473,-0.0009,-0.0013,0.0001,22.5869,36.6765,-27.5771,0.648148148
6.48148E-06,0.6728,-0.4693,-9.7473,-0.0009,-0.0013,0.0001,22.5869,36.6765,-27.5771,0.648148148
6.48148E-06,0.6584,-0.4765,-9.7569,-0.0009,0.0003,0.0001,22.5869,36.6765,-27.5771,0.648148148
6.48148E-06,0.6489,-0.4573,-9.7377,0.0002,-0.0002,0.0012,22.5869,36.6765,-27.5771,0.648148148
