Column1.1,Column1.2,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
0.000103171,-0.018416,-0.43948,-9.77922,0.000828,0.000582,0.000451,-20.568233,-2.317044,-14.575119,10.31712963
0.000105671,-0.02321,-0.425089,-9.77446,0.000162,0.000049,-0.000214,-19.260196,-1.936523,-14.20043,10.56712963
0.000108229,-0.02321,-0.429886,-9.78398,-0.000903,0.000449,-0.000214,-20.895242,-1.175478,-15.699182,10.82291667
0.000110764,-0.028004,-0.434683,-9.793499,0.000429,0.000316,0.000984,-21.549259,-4.219657,-14.20043,11.07638889
0.000113264,-0.02321,-0.444277,-9.77922,-0.000237,-0.000617,0.000451,-20.731739,-1.74626,-13.6384,11.32638889
0.000115741,-0.013622,-0.434683,-9.78398,-0.00077,0.000182,0.000318,-21.385755,-2.887829,-15.13715,11.57407407
0.000117072,-0.013622,-0.429886,-9.77922,0.000828,-0.00075,0.000585,-20.241224,-2.317044,-14.575119,11.70717593
0.000119549,-0.028004,-0.434683,-9.798259,0.000429,-0.000483,-0.000214,-20.241224,-0.414431,-14.949806,11.95486111
0.000122106,-0.032799,-0.434683,-9.78398,-0.000237,0.000182,0.000451,-20.731739,-1.365737,-15.13715,12.21064815
0.000124641,-0.02321,-0.43948,-9.798259,-0.00077,0.000049,0.000585,-19.587205,-2.697568,-14.575119,12.46412037
0.000127188,-0.032799,-0.434683,-9.793499,0.001095,-0.00035,0.000185,-19.750711,-1.365737,-15.886525,12.71875
0.000129722,-0.02321,-0.425089,-9.77922,0.000296,0.000182,0.000052,-20.404727,-1.365737,-15.511838,12.97222222
0.000132222,-0.028004,-0.43948,-9.81254,-0.000104,-0.00035,-0.000214,-19.4237,-1.365737,-14.762462,13.22222222
0.000134745,-0.032799,-0.43948,-9.77922,0.000029,-0.000483,-0.000214,-19.260196,-2.697568,-14.20043,13.47453704
0.000137315,-0.028004,-0.43948,-9.788741,-0.00037,0.000715,0.000451,-19.914215,-2.697568,-14.20043,13.73148148
0.00013985,-0.028004,-0.434683,-9.803019,-0.000237,0.000182,-0.000081,-20.895242,-1.555999,-14.20043,13.9849537
0.00014235,-0.028004,-0.43948,-9.788741,0.000961,-0.000217,0.000052,-20.241224,-2.697568,-14.20043,14.2349537
0.000143611,-0.037593,-0.425089,-9.798259,-0.00037,-0.000217,0.000185,-20.731739,-2.126784,-12.889022,14.36111111
0.000146204,-0.013622,-0.43948,-9.78398,0.001095,0.000049,-0.000214,-20.241224,-2.317044,-14.20043,14.62037037
0.000148669,-0.032799,-0.43948,-9.788741,0.000429,0.000582,0.000851,-19.750711,-0.985215,-16.261211,14.86689815
0.000151238,-0.02321,-0.444277,-9.788741,0.000296,-0.00035,-0.000081,-21.058746,-2.507305,-13.6384,15.12384259
0.000153762,-0.02321,-0.434683,-9.77922,-0.000237,0.000316,-0.000747,-21.222251,-2.317044,-14.949806,15.37615741
0.000156331,-0.028004,-0.420292,-9.788741,0.001228,-0.000483,-0.000481,-21.385755,-1.74626,-14.013086,15.63310185
0.000158843,-0.013622,-0.43948,-9.7697,-0.000104,-0.00035,-0.000081,-19.260196,-2.317044,-14.20043,15.88425926
0.000161389,-0.013622,-0.429886,-9.798259,0.000429,0.000449,0.000851,-19.4237,-2.126784,-14.762462,16.13888889
0.000163877,-0.028004,-0.415495,-9.793499,0.000429,0.000582,-0.000081,-20.07772,-2.887829,-14.387774,16.38773148
0.000166447,-0.028004,-0.43948,-9.77446,0.000029,0.001115,-0.000081,-19.4237,-1.74626,-13.6384,16.64467593
0.000168981,-0.008828,-0.449074,-9.798259,-0.00077,-0.00035,-0.000081,-20.731739,-3.26835,-14.387774,16.89814815
0.000170231,-0.02321,-0.425089,-9.78398,-0.00037,-0.00075,0.000318,-20.731739,-2.507305,-14.387774,17.02314815
0.000172766,-0.018416,-0.434683,-9.77922,0.000695,-0.000617,-0.000081,-21.549259,-1.555999,-14.575119,17.27662037
0.000175313,-0.004034,-0.425089,-9.793499,-0.000104,-0.00075,0.000451,-18.60618,-3.078089,-13.825742,17.53125
0.000177836,-0.028004,-0.429886,-9.755421,-0.000637,-0.00035,-0.001013,-20.241224,-1.555999,-13.825742,17.78356481
0.00018037,-0.02321,-0.434683,-9.77446,-0.000637,-0.000084,0.000984,-20.568233,-1.175478,-14.575119,18.03703704
0.000182847,-0.032799,-0.444277,-9.793499,0.000695,-0.000617,0.000185,-19.587205,-4.219657,-14.575119,18.28472222
0.00018544,-0.02321,-0.434683,-9.77922,0.000162,0.000449,0.000185,-19.750711,-2.507305,-14.387774,18.54398148
0.000187917,-0.028004,-0.434683,-9.77922,-0.001036,-0.000084,0.000851,-19.587205,-3.458613,-16.448553,18.79166667
0.000190486,-0.028004,-0.453871,-9.77922,0.000029,0.000449,0.000318,-19.260196,-2.697568,-15.324494,19.04861111
0.000193032,-0.018416,-0.444277,-9.793499,-0.000104,-0.000483,-0.000348,-20.241224,-2.697568,-15.324494,19.30324074
0.000195579,-0.013622,-0.444277,-9.788741,-0.000104,0.000715,0.001117,-20.241224,-2.697568,-14.949806,19.55787037
0.000196817,-0.032799,-0.434683,-9.788741,0.000961,-0.000217,0.000052,-19.587205,-3.458613,-14.575119,19.68171296
0.000199375,-0.028004,-0.43948,-9.793499,-0.000637,-0.00035,0.001117,-20.07772,-1.365737,-13.263711,19.9375
0.00020184,-0.037593,-0.434683,-9.798259,-0.000104,-0.000483,-0.000348,-20.07772,-0.604694,-15.511838,20.18402778
